City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
219,Natagaima,CO,2021-11-23 07:24:54,3.6206,-75.0941,72.25,90,100,1.66
220,Egvekinot,RU,2021-11-23 07:24:55,66.3167,-179.1667,-4.27,67,6,9.24
221,Komyshnya,UA,2021-11-23 07:24:55,50.1859,33.684,29.57,64,98,7.14
222,Lagoa,PT,2021-11-23 07:24:38,39.05,-27.9833,65.05,87,69,18.43
223,Saint-Augustin,CA,2021-11-23 07:24:57,51.226,-58.6502,41.4,83,100,23.2
224,Indramayu,ID,2021-11-23 07:24:58,-6.3264,108.32,84.99,70,100,4.09
225,Neiafu,TO,2021-11-23 07:24:59,-18.65,-173.9833,80.26,74,95,10.45
226,Bukoba,TZ,2021-11-23 07:25:00,-1.3317,31.8122,75.47,60,67,2.71
227,Krasnorechenskiy,RU,2021-11-23 07:25:01,44.6265,135.3532,11.5,85,98,16.06
228,Cayenne,GF,2021-11-23 07:26:02,4.9333,-52.3333,80.1,86,69,5.01
229,Vacaria,BR,2021-11-23 07:26:03,-28.5122,-50.9339,60.55,82,9,5.46
230,Svetlaya,RU,2021-11-23 07:26:04,46.5389,138.3297,22.01,62,100,18.7
231,Jambi,ID,2021-11-23 07:26:04,-1.6,103.6167,87.26,67,100,2.35
232,Sungairaya,ID,2021-11-23 07:26:05,0.7,108.9,82.13,74,99,2.33
233,Sisimiut,GL,2021-11-23 07:26:06,66.9395,-53.6735,13.71,77,15,16.13
234,Broken Hill,AU,2021-11-23 07:26:07,-31.95,141.4333,78.51,47,40,10.36
235,Batemans Bay,AU,2021-11-23 07:26:08,-35.7167,150.1833,74.19,76,100,9.75
236,Port Arthur,CN,2021-11-23 07:26:08,38.8,121.2667,44.91,94,0,21.72
237,College,US,2021-11-23 07:26:09,64.8569,-147.8028,1.58,73,90,12.66
238,Matamoros,MX,2021-11-23 07:26:10,25.5333,-103.25,55.22,57,60,2.08
239,Kasamwa,TZ,2021-11-23 07:26:11,-2.85,32.4333,79.09,50,34,5.99
240,Kabanjahe,ID,2021-11-23 07:26:12,3.1001,98.4908,74.16,86,100,2.8
241,Kavieng,PG,2021-11-23 07:23:11,-2.5744,150.7967,83.05,78,85,14.74
242,Yaan,NG,2021-11-23 07:26:13,7.3833,8.5667,79.61,77,6,5.75
